id,longitude,latitude,is_geocoding_exact
1,-123.122,47.247,TRUE
2,-122.892,45.487,TRUE
3,-97.281,37.695,TRUE
4,-122.422,37.763,TRUE
5,-104.692,40.384,TRUE
6,-97.423,35.877,TRUE
7,-111.841,33.328,TRUE
8,-97.564,38.704,TRUE
9,-91.119,40.809,TRUE
10,-79.991,40.413,TRUE
11,-121.299,37.93,TRUE
12,-95.369,28.955,TRUE
13,-82.885,39.999,TRUE
14,-93.609,41.582,TRUE
15,-90.012,30.022,TRUE
17,-111.872,40.772,TRUE
18,-92.359,33.111,TRUE
19,-112.083,41.083,TRUE
20,-91.966,34.542,TRUE
21,-106.439,31.858,TRUE
22,-88.304,39.692,TRUE
23,-118.183,33.951,TRUE
24,-115.116,36.185,TRUE
25,-106.586,35.095,TRUE
26,-98.542,28.912,TRUE
29,-76.348,36.783,TRUE
30,-74.301,40.405,TRUE
31,-95.428,29.031,TRUE
32,-111.887,40.54,TRUE
33,-85.991,39.826,TRUE
34,-104.772,39.726,TRUE
35,-93.358,44.825,TRUE
36,-121.997,38.266,TRUE
37,-92.441,30.748,TRUE
38,-96.069,32.407,TRUE
39,-122.06,37.588,TRUE
40,-95.394,35.766,TRUE
41,-118.233,34.038,TRUE
42,-97.334,32.811,TRUE
43,-112.042,33.085,TRUE
44,-82.921,37.565,TRUE
45,-70.932,42.257,TRUE
47,-116.958,33.742,TRUE
48,-99.123,26.559,TRUE
49,-90.25,38.665,TRUE
50,-71.337,42.908,TRUE
51,-105.028,31.08,TRUE
52,-94.746,32.495,TRUE
54,-102.369,33.578,TRUE
55,-97.789,30.167,TRUE
56,-111.78,43.826,TRUE
57,-76.648,39.284,TRUE
58,-97.38,32.678,TRUE
59,-104.574,38.285,TRUE
61,-104.909,39.754,TRUE
62,-93.386,45.036,TRUE
63,-101.666,33.166,TRUE
64,-119.335,35.589,TRUE
65,-95.99,41.243,TRUE
67,-109.326,33.054,TRUE
68,-82.997,39.879,TRUE
69,-97.828,33.47,TRUE
70,-95.784,29.558,TRUE
71,-121.316,38.029,TRUE
72,-85.66,42.894,TRUE
73,-97.05,36.121,TRUE
74,-108.513,45.79,TRUE
75,-95.72,29.861,TRUE
76,-76.821,39.38,TRUE
77,-117.177,34.417,TRUE
78,-83.873,43.599,TRUE
79,-76.713,40.273,TRUE
80,-90.21,38.75,TRUE
81,-122.284,37.827,TRUE
82,-121.818,37.999,TRUE
83,-82.845,31.523,TRUE
84,-84.33,30.466,TRUE
85,-81.306,28.5,TRUE
86,-111.978,33.378,TRUE
87,-111.978,33.378,TRUE
88,-97.208,31.397,TRUE
89,-89.932,35.164,TRUE
90,-117.65,33.953,TRUE
91,-97.515,35.404,TRUE
92,-117.057,33.994,TRUE
93,-81.227,35.266,TRUE
94,-149.859,61.208,TRUE
95,-97.891,30.244,TRUE
