id,Number_of_Shots_Fired,Distance_of_Victim_from_Police,Response_Time,Number_of_Officers_Involved,Time_of_Day,Population_Density_Of_City,Duration_of_Incident,Distance_from_the_Nearest_Police_Station
1,7,243,12,3,08:55AM,315209,18,1663
2,5,1289,19,2,01:32PM,329604,64,1366
3,10,1319,1,4,06:38AM,427838,12,1855
4,3,606,16,3,04:22AM,339437,20,1220
5,6,1135,14,4,08:51PM,226882,63,379
6,4,421,15,6,07:46AM,456788,61,441
7,7,276,4,1,07:38PM,442558,35,172
8,7,61,18,5,10:42AM,229951,3,239
9,10,982,4,4,11:10AM,231556,28,992
10,6,280,0,6,12:06AM,489325,19,750
11,2,132,20,4,09:33PM,457945,69,1893
12,8,784,4,6,07:46AM,347849,42,1007
13,6,688,11,6,02:12AM,287364,63,338
14,3,341,0,3,11:52PM,427772,51,1803
15,0,137,3,1,08:36AM,196017,9,298
17,2,393,7,2,08:40PM,175797,24,768
18,0,605,18,3,03:20PM,214069,31,1299
19,4,861,4,3,03:47PM,361130,9,1988
20,5,1141,6,4,12:14PM,182590,47,923
21,1,422,15,5,12:44PM,478908,71,147
22,7,888,0,2,05:11AM,494298,15,1019
23,2,992,9,6,07:56AM,102400,58,1801
24,6,697,11,3,05:32AM,451652,27,602
25,0,1462,3,3,01:59PM,426975,11,1416
26,8,718,12,1,06:47PM,400688,44,1509
29,7,439,1,5,08:23PM,465096,5,1221
30,7,95,14,3,08:17AM,297484,28,475
31,2,1362,20,4,11:37AM,176947,73,696
32,8,930,20,1,03:53PM,153875,37,726
33,7,18,3,2,03:35PM,413843,35,1091
34,8,1100,1,4,08:34AM,428637,38,830
35,2,999,13,3,11:18PM,417657,67,673
36,9,626,6,1,05:11AM,287012,30,324
37,1,1341,16,5,03:20AM,179677,29,1895
38,6,691,3,6,06:37AM,177978,37,1348
39,5,926,13,2,04:40PM,221860,80,1969
40,4,539,11,5,02:26AM,489457,88,1874
41,8,1063,5,6,09:04AM,276500,54,156
42,6,461,15,4,12:24AM,352855,39,1037
43,10,607,20,4,09:10PM,253134,14,1593
44,3,449,1,4,11:32PM,494316,87,1226
45,0,1314,6,4,01:38PM,232002,50,1714
47,4,652,18,2,05:36PM,429574,25,342
48,6,372,19,1,11:32AM,453973,73,894
49,3,900,2,5,05:13PM,264105,21,554
50,10,621,17,4,11:53AM,486579,63,739
51,2,1480,9,3,07:47PM,455997,5,734
52,8,1034,2,3,12:32AM,204108,54,1624
54,6,1304,7,1,06:37PM,402738,26,1670
55,5,1272,14,5,12:39AM,106489,2,1051
56,10,1374,0,3,09:05PM,300808,9,1677
57,6,767,2,6,02:45AM,287635,52,1053
58,5,1253,15,4,10:23AM,352855,25,631
59,7,629,0,4,06:25PM,464660,3,1364
61,0,139,13,3,04:26PM,444406,11,299
62,10,287,14,6,12:48AM,489341,24,906
63,9,826,10,2,12:00AM,380196,25,1254
64,10,229,6,2,07:55AM,116654,69,703
65,1,1001,12,6,03:02AM,185577,60,1024
67,1,758,4,5,01:54AM,458975,69,1643
68,5,313,4,1,02:57PM,287364,16,514
69,10,500,6,1,11:21PM,282599,29,401
70,9,531,14,4,07:42AM,194122,79,1765
71,3,204,8,5,08:17AM,457945,84,1044
72,0,1193,11,6,02:43PM,411821,6,1966
73,2,1181,13,4,10:56PM,228636,31,150
74,9,746,11,4,01:02AM,464972,29,747
75,9,643,4,4,02:23AM,152472,58,863
76,10,1277,14,3,09:06AM,208654,83,1250
77,9,581,0,5,11:29PM,345838,76,1785
78,9,506,4,5,10:46AM,258162,83,672
79,7,136,20,5,09:20PM,373941,59,934
80,7,68,1,2,04:37PM,264105,77,434
81,7,157,15,3,04:48PM,390494,9,217
82,5,752,13,3,04:37AM,495732,84,352
83,1,1041,1,5,05:18AM,463786,85,1252
84,10,1159,4,3,09:48PM,257686,18,266
85,3,1065,17,3,01:59AM,384799,53,961
86,0,37,10,1,03:45PM,318383,79,199
87,2,646,10,2,06:27PM,318383,23,429
88,1,436,18,2,02:47AM,264394,50,901
89,7,826,6,3,11:45AM,434652,74,912
90,7,1123,2,1,12:25AM,485355,31,300
91,8,1083,4,2,08:27AM,363744,64,1973
92,9,454,19,2,07:09PM,257481,88,1117
93,7,171,12,5,10:44AM,413270,75,534
94,7,704,13,6,04:05AM,190895,11,978
95,7,827,16,3,07:19AM,106489,26,223
96,1,300,12,1,06:34PM,495960,57,633
97,4,267,9,6,09:05AM,153882,87,1783
98,4,483,10,3,12:29AM,320063,34,294
99,4,893,9,2,03:15AM,411230,56,450
100,7,1378,18,1,08:35AM,110686,38,953
101,4,517,19,5,05:40AM,138483,89,1732
102,5,1204,10,2,09:52AM,356842,36,1534
103,3,895,20,2,10:18PM,427477,89,927
104,10,564,8,3,09:23PM,294408,40,249
105,10,774,16,5,05:58PM,419507,65,235
107,1,945,7,4,08:05PM,118917,35,1308
108,2,1381,5,5,11:52AM,112622,35,1245
109,10,1090,17,2,11:35PM,209905,28,1194
110,4,1480,13,1,09:06AM,440054,10,593
111,1,217,10,2,01:48AM,146282,71,979
112,0,196,2,5,07:00PM,270599,75,1595
113,2,1065,12,5,01:22AM,209650,63,680
114,5,1483,8,3,06:47AM,300028,52,1520
115,3,670,14,1,04:25AM,143043,76,1295
116,3,916,18,2,05:07PM,261150,69,1772
117,9,130,4,4,03:45AM,232272,51,1748
118,8,1191,13,1,07:16AM,117898,54,1353
119,0,534,4,1,08:58PM,298256,2,1564
120,9,929,18,5,11:25PM,318404,41,1554
121,9,1282,15,1,09:06AM,208660,20,1017
122,6,459,15,6,11:14AM,240849,12,1416
124,5,130,19,1,02:50AM,187252,76,1953
125,0,1313,18,5,02:04PM,302551,14,1023
126,2,223,6,3,05:11PM,328675,2,1010
127,6,924,20,4,11:36AM,208611,65,1833
129,5,1215,2,5,03:05AM,379124,5,1948
130,1,84,18,5,08:48AM,413843,86,1181
131,4,1033,14,3,03:16PM,204503,35,1274
132,4,1258,15,4,07:28PM,489937,34,776
133,8,160,6,2,06:09AM,454968,14,1262
134,5,656,19,6,11:35PM,316279,40,1811
135,5,1459,4,6,11:33AM,481431,78,474
136,8,1125,1,3,09:03PM,364452,64,463
137,5,173,1,2,12:49PM,185577,4,1101
138,0,1328,17,4,05:33AM,413480,54,217
140,10,104,11,4,07:45PM,271083,84,1062
141,1,982,16,2,09:12PM,125636,53,1903
142,8,212,14,3,11:23AM,339437,79,793
143,1,494,0,3,06:35AM,466654,45,842
144,4,1274,19,3,11:08PM,187983,73,1830
145,3,955,7,4,10:18AM,364064,21,801
146,1,807,2,1,08:15AM,443630,58,187
147,7,847,19,4,12:51AM,172678,81,619
148,5,898,0,6,12:27PM,484550,22,1481
149,0,571,18,2,05:46PM,280504,25,436
150,8,1072,7,3,02:54AM,100879,85,1944
151,0,997,7,2,05:14PM,467450,40,634
152,8,579,3,1,04:36PM,486054,56,664
153,8,585,8,3,07:18AM,436864,8,663
154,9,1474,10,3,09:02PM,152472,10,673
155,6,1386,20,6,12:48PM,108649,26,1684
156,4,670,1,6,07:54AM,276500,45,1781
157,5,1138,16,6,09:48PM,348877,28,1217
158,5,1413,3,5,11:24AM,178992,63,1245
159,8,221,0,3,01:16PM,318383,6,1568
160,4,1213,6,3,07:04AM,101960,74,928
161,3,704,18,5,05:27AM,457945,13,1771
162,1,936,19,1,06:13AM,372743,63,1339
163,0,958,19,4,06:59AM,256671,51,1987
164,3,877,5,2,12:28AM,341651,16,1381
165,8,1489,0,1,07:05PM,254840,76,1010
166,10,865,18,4,09:17AM,428637,23,1883
168,5,783,15,2,11:00AM,190465,6,1968
169,1,369,19,1,09:18PM,133895,70,1183
170,10,1322,13,1,01:34AM,363744,45,706
172,5,635,10,2,06:16PM,382510,79,967
173,0,412,20,4,01:21PM,352436,82,1725
174,6,1226,12,5,03:24AM,285775,42,1400
175,0,1427,10,1,06:07AM,183556,66,1755
176,3,1389,5,3,10:40PM,117062,37,427
177,0,1096,6,1,12:42PM,364515,83,1527
